ATTk590245: domainWidePolicy
ATTm1376261: drink
ATTm590053: driverName
ATTj590100: driverVersion
ATTl591181: dSCorePropagationData
ATTm131284: dSHeuristics
ATTj591168: dSUIAdminMaximum
ATTm591167: dSUIAdminNotification
ATTj591169: dSUIShellMaximum
ATTk131146: dSASignature
ATTb590361: dynamicLDAPServer
ATTm1376259: mail
ATTk590092: eFSPolicy
ATTm589859: employeeID
ATTm131682: employeeNumber
ATTm131685: employeeType
ATTi131629: Enabled
ATTi589860: enabledConnection
ATTm590649: enrollmentProviders
ATTj1769475: entryTTL
ATTm590733: extendedAttributeInfo
ATTi131452: extendedCharsAllowed
ATTm590732: extendedClassInfo
ATTm131299: extensionName
ATTm591511: extraColumns
ATTm23: facsimileTelephoneNumber
ATTm590640: fileExtPriority
ATTj589862: flags
ATTm590335: flatName
ATTq589863: forceLogoff
ATTk590180: foreignIdentifier
ATTm590506: friendlyNames
ATTi590734: fromEntry
ATTb589864: fromServer
ATTb590693: frsComputerReference
ATTb590694: frsComputerReferenceBL
ATTm590695: fRSControlDataCreation
ATTm590696: fRSControlInboundBacklog
ATTm590697: fRSControlOutboundBacklog
ATTm590308: fRSDirectoryFilter
ATTj590314: fRSDSPoll
ATTk590360: fRSExtensions
ATTm590315: fRSFaultCondition
ATTm590307: fRSFileFilter
ATTj590698: fRSFlags
ATTj590358: fRSLevelLimit
ATTb590699: fRSMemberReference
ATTb590700: fRSMemberReferenceBL
ATTj590701: fRSPartnerAuthLevel
ATTb590702: fRSPrimaryMember
ATTk590357: fRSReplicaSetGUID
ATTj589855: fRSReplicaSetType
ATTm590311: fRSRootPath
ATTp590359: fRSRootSecurity
ATTm590324: fRSServiceCommand
ATTm590703: fRSServiceCommandStatus
ATTm590312: fRSStagingPath
ATTl590704: fRSTimeLastCommand
ATTl590705: fRSTimeLastConfigChange
ATTj590309: fRSUpdateTimeout
ATTm590706: fRSVersion
ATTk589867: fRSVersionGUID
ATTm590310: fRSWorkingPath
ATTb590193: fSMORoleOwner
ATTj131373: garbageCollPeriod
ATTi589865: generatedConnection
ATTm44: generationQualifier
ATTm42: givenName
ATTb591069: globalAddressList
ATTc131094: governsID
ATTm590715: gPLink
ATTj590716: gPOptions
ATTm590718: gPCFileSysPath
ATTj590717: gPCFunctionalityVersion
ATTm591172: gPCMachineExtensionNames
ATTm591173: gPCUserExtensionNames
ATTm591518: gPCWQLFilter
ATTj589976: groupAttributes
ATTk589990: groupMembershipSAM
ATTm590169: groupPriority
ATTj590574: groupType
ATTm590168: groupsToIgnore
ATTb131086: hasMasterNCs
ATTb131087: hasPartialReplicaNCs
ATTk131474: helpData16
ATTk131081: helpData32
ATTm131399: helpFileName
ATTi591604: hideFromAB
ATTm589868: homeDirectory
ATTm589869: homeDrive
ATTm51: houseIdentifier
ATTm1376265: host
ATTm590043: iconPath
ATTk590144: implementedCategories
ATTm590505: indexedScopes
ATTm590363: initialAuthIncoming
ATTm590364: initialAuthOutgoing
ATTm43: initials
ATTj590671: installUiLevel
ATTj131073: instanceType
ATTj591072: interSiteTopologyFailover
ATTb591070: interSiteTopologyGenerator
ATTj591071: interSiteTopologyRenew
ATTg25: internationalISDNNumber
ATTk131187: invocationId
ATTk590447: ipsecData
ATTj590446: ipsecDataType
ATTb590453: ipsecFilterReference
ATTm590445: ipsecID
ATTb590450: ipsecISAKMPReference
ATTm590444: ipsecName
ATTm590712: iPSECNegotiationPolicyAction
ATTb590452: ipsecNegotiationPolicyReference
ATTm590711: iPSECNegotiationPolicyType
ATTb590451: ipsecNFAReference
ATTb590448: ipsecOwnersReference
ATTb590341: ipsecPolicyReference
ATTi590692: isCriticalSystemObject
ATTi590485: isDefunct
ATTi131120: isDeleted
ATTi591036: isEphemeral
ATTb131174: memberOf
ATTi590463: isMemberOfPartialAttributeSet
ATTb590462: isPrivilegeHolder
ATTi591882: isRecycled
ATTi131105: isSingleValued
ATTk1376316: jpegPhoto
ATTm589872: keywords
ATTe2: knowledgeInformation
ATTm1900601: labeledURI
ATTq590343: lastBackupRestorationTime
ATTq589874: lastContentIndexed
ATTb590605: lastKnownParent
ATTq589875: lastLogoff
ATTq589876: lastLogon
ATTq591520: lastLogonTimestamp
ATTq589877: lastSetTime
ATTm590154: lastUpdateSequence
ATTm590667: lDAPAdminLimits
ATTm131532: lDAPDisplayName
ATTk590668: lDAPIPDenyList
ATTe590479: legacyExchangeDN
ATTj131122: linkID
ATTk590093: linkTrackSecret
ATTk589984: lmPwdHistory
ATTj589880: localPolicyFlags
ATTb590281: localPolicyReference
ATTj589882: localeID
ATTm7: l
ATTm590641: localizedDescription
ATTj591177: localizationDisplayId
ATTm590046: location
ATTq589885: lockOutObservationWindow
ATTq589884: lockoutDuration
ATTj589897: lockoutThreshold
